raw_specialty,nucc_codes,Label,explain,validated_label_used,methodA_flag,methodA_overlap_unigram,methodA_overlap_bigram,methodA_uni_jaccard,methodA_bi_jaccard,methodB_flag,methodB_fwd,methodB_rev,methodB_avg,methodC_flag,methodC_cosine,green_flag
GERONTOLOGY - NURSE PRACTITIONER,363L00000X|363LG0600X,1.0,fuzzy match (query='gerontology nurse'): 'nurse' score=1.00; 'nurse gerontology' score=1.00,,,,,,,,,,,,,1
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.4706,best fuzzy 0.47 below cutoff 0.60 (query='freestanding ruralhealthclinic'),,,,,,,,,,,,,0
Gastroenterology Service,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00,,,,,,,,,,,,,1
physical medicine & rehab,207PE0004X,1.0,fuzzy match (query='medicine rehab'): 'medicine' score=1.00,,,,,,,,,,,,,1
Dept of Sleep Medicine,207PE0004X|207QS1201X|207RS0012X|207YS0012X|2080S0012X,1.0,fuzzy match (query='sleep medicine'): 'medicine' score=1.00; 'family medicine sleep medicine' score=1.00; 'internal medicine sleep medicine' score=1.00; 'otolaryngology sleep medicine' score=1.00; 'pediatrics sleep medicine' score=1.00,,,,,,,,,,,,,1
OrthopedicSurgery,207X00000X,0.9189,fuzzy match (query='orthopedics urgery'): 'orthopaedic surgery' score=0.92 + spacing rescue,Orthopaedic Surgery,1,0,0,0.0,0.0,0,0.9444,0.9444,0.9444,0,0.7057,0
Clinical Laboratory Services,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Gerontology-NursePractitioner,363L00000X|363LG0600X,1.0,fuzzy match (query='gerontology nurse'): 'nurse' score=1.00; 'nurse gerontology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Urology hospital,208800000X,1.0,exact match on 'urology',,,,,,,,,,,,,1
IP Service,315D00000X,1.0,exact match on 'hospice inpatient',,,,,,,,,,,,,1
Dermatology CLINIC,207N00000X|261Q00000X,1.0,exact match on 'dermatology' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Radi,347D00000X,0.6667,fuzzy match (query='radi'): 'train' score=0.67,Train,1,0,0,0.0,0.0,0,0.6667,0.6667,0.6667,1,0.2371,0
Dept of Nephrology,246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
Dept of Sports Medicine,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Pharmacy Service,183700000X|333600000X,1.0,exact match on 'pharmacy',,,,,,,,,,,,,1
Hematology Program,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00,,,,,,,,,,,,,1
Dentistry - USA,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Dr. Dentistry,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
dentistry,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Plastic,207WX0200X|207YS0123X|207YX0007X|207YX0905X|208200000X,1.0,fuzzy match (query='plastic'): 'ophthalmology ophthalmic plastic reconstructive surgery' score=1.00; 'otolaryngology facial plastic surgery' score=1.00; 'otolaryngology otolaryngology facial plastic surgery' score=1.00; 'otolaryngology plastic surgery within the head neck' score=1.00; 'plastic surgery' score=1.00 + spacing rescue,,,,,,,,,,,,,1
PEDIATRIC OPTOMETRIST Program,152W00000X|152WP0200X,1.0,fuzzy match (query='pediatric optometrist'): 'optometrist' score=1.00; 'optometrist pediatrics' score=0.98,,,,,,,,,,,,,1
Geriatric Medicine CLINIC,207PE0004X|207QG0300X|207RG0300X|261Q00000X,1.0,fuzzy match (query='geriatric medicine'): 'medicine' score=1.00; 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
OPTICIAN CLINIC,156FX1800X|261Q00000X,1.0,exact match on 'optician' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Pathology Service,246Q00000X|246QM0706X|246R00000X,1.0,exact match on 'pathology',,,,,,,,,,,,,1
PED1ATR1CS,208000000X,1.0,exact match on 'pediatrics',,,,,,,,,,,,,1
Pediatric Dentistry Practice,1223P0221X,1.0,fuzzy match (query='pediatric dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Pediatric Dentistry Unit,1223P0221X,1.0,fuzzy match (query='pediatric dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Occupational Therapist Service,225X00000X,1.0,exact match on 'occupational therapist',,,,,,,,,,,,,1
Pathology Services,246Q00000X|246QM0706X|246R00000X,1.0,exact match on 'pathology',,,,,,,,,,,,,1
Gastroenterology - USA,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00,,,,,,,,,,,,,1
PHARMACY,183700000X|333600000X,1.0,exact match on 'pharmacy' + spacing rescue,,,,,,,,,,,,,1
NaturopathicPhysician,175F00000X,1.0,fuzzy match (query='naturopath icphysician'): 'naturopath' score=1.00 + spacing rescue,,,,,,,,,,,,,1
RADIOLOGY MOBILE CLINIC/CENTER Division,261QR0208X|261Q00000X,1.0,exact match on 'radiology mobile' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dr. Nephrology,246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
FREE STANDING (RURAL HEALTH CLINIC) CLINIC,261QR1300X|261Q00000X,1.0,fuzzy match (query='free standing rural'): 'rural' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Audiology Service,2355A2700X,1.0,exact match on 'audiology',,,,,,,,,,,,,1
Radiology Unit,243U00000X|261QR0200X,1.0,exact match on 'radiology',,,,,,,,,,,,,1
Anesthesiology dept,207L00000X,1.0,exact match on 'anesthesiology',,,,,,,,,,,,,1
Urology Program,208800000X,1.0,exact match on 'urology',,,,,,,,,,,,,1
OB/GYN Division,207V00000X,1.0,exact match on 'obstetrics gynecology',,,,,,,,,,,,,1
sports medicine,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Speech-Language Pathologist Center,235Z00000X|261Q00000X,1.0,exact match on 'speech language pathologist' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dept of PEDIATRIC OPTOMETRIST,152W00000X|152WP0200X,1.0,fuzzy match (query='pediatric optometrist'): 'optometrist' score=1.00; 'optometrist pediatrics' score=0.98,,,,,,,,,,,,,1
Addiction Medicine Services,207LA0401X|207PE0004X|207QA0401X|207RA0401X|2083A0300X,1.0,fuzzy match (query='addiction medicine'): 'anesthesiology addiction medicine' score=1.00; 'medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00,,,,,,,,,,,,,1
Dentistry Program,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Hospice and Palliative Care Practice,207LH0002X|207PH0002X|207QH0002X|207RH0002X|207VH0002X,1.0,fuzzy match (query='hospice palliative'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00; 'obstetrics gynecology hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
Internal Medicine Center,207R00000X|261Q00000X,1.0,exact match on 'internal medicine' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
FREE STAND1NG (RURAL HEALTH CL1N1C),261QR1300X,1.0,fuzzy match (query='free standing rural'): 'rural' score=1.00,,,,,,,,,,,,,1
Dr. FREE STANDING (RURAL HEALTH CLINIC),261QR1300X|261Q00000X,1.0,fuzzy match (query='free standing rural'): 'rural' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
PHYSICAL MEDICINE & REHAB Division,207PE0004X,1.0,fuzzy match (query='medicine rehab'): 'medicine' score=1.00,,,,,,,,,,,,,1
Dept of IR,2085R0204X|261QR0200X,1.0,fuzzy match (query='interventional radiology'): 'radiology vascular interventional radiology' score=1.00; 'radiology' score=1.00,,,,,,,,,,,,,1
Oncology Unit,261QX0200X,1.0,exact match on 'oncology',,,,,,,,,,,,,1
Plastic Surgery Practice,208200000X,1.0,exact match on 'plastic surgery',,,,,,,,,,,,,1
Orthopedic Surgery Unit,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
Psychiatry Program,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='psychiatry'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00,,,,,,,,,,,,,1
PULMONARY MEDICINE Service,207PE0004X|207RP1001X,1.0,fuzzy match (query='pulmonary medicine'): 'medicine' score=1.00; 'internal medicine pulmonary disease' score=1.00,,,,,,,,,,,,,1
CLINICAL LABORATORY,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Family Medicine Service,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Critical Care Medicine Service,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00,,,,,,,,,,,,,1
Occupational Therapist Services,225X00000X,1.0,exact match on 'occupational therapist',,,,,,,,,,,,,1
Ip,315D00000X,1.0,exact match on 'hospice inpatient',,,,,,,,,,,,,1
Gerontology - Nurse Practitioner Service,363L00000X|363LG0600X,1.0,fuzzy match (query='gerontology nurse'): 'nurse' score=1.00; 'nurse gerontology' score=1.00,,,,,,,,,,,,,1
Dept of Orthotics and Prosthetics,335E00000X,0.8163,fuzzy match (query='orthotics prosthetics'): 'prosthetic orthotic supplier' score=0.82,Prosthetic/Orthotic Supplier,1,0,0,0.0,0.0,0,0.6557,0.6557,0.6557,0,0.8466,0
Community Health - Clinic/Center,261QC1500X|261Q00000X,1.0,exact match on 'community' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Gastroenterology dept,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00,,,,,,,,,,,,,1
Pediatric-Dentistry,1223P0221X,1.0,fuzzy match (query='pediatric dentistry'): 'dentist pediatric dentistry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Emergency Medicine CLINIC,207P00000X|207PE0004X|261Q00000X,1.0,exact match on 'medicine' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Orthopedic Surgery hospital,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
Radiation-Oncology,2085R0001X|261QX0200X|261QX0203X,1.0,fuzzy match (query='radiation oncology'): 'radiology radiation oncology' score=1.00; 'oncology' score=1.00; 'oncology radiation' score=1.00 + spacing rescue,,,,,,,,,,,,,1
DERMATOLOGY,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
Adult Health Nurse Practitioner Center,363L00000X|363LA2200X|364SP0809X|261Q00000X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dentistry Division,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
CriticalCareMedicine,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00 + spacing rescue,,,,,,,,,,,,,1
COMMUNITY HEALTH - CLINIC/CENTER Services,261QC1500X|261Q00000X,1.0,exact match on 'community' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Pain Management Service,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
Geriatric Medicine Unit,207PE0004X|207QG0300X|207RG0300X,1.0,fuzzy match (query='geriatric medicine'): 'medicine' score=1.00; 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00,,,,,,,,,,,,,1
Urology dept,208800000X,1.0,exact match on 'urology',,,,,,,,,,,,,1
behavioral health counselor,101Y00000X,1.0,fuzzy match (query='behavioral counselor'): 'counselor' score=1.00,,,,,,,,,,,,,1
Vascular-Surgery,208600000X|2086S0129X|208G00000X,1.0,fuzzy match (query='vascular surgery'): 'surgery' score=1.00; 'surgery vascular surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Nuclear Medicine Program,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
TAXI Program,344600000X,1.0,exact match on 'taxi',,,,,,,,,,,,,1
Dr. Sports Medicine,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Clinical Psychology Services,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,0,0.7273,0.7273,0.7273,0,0.8621,0
Occupational Therapist CLINIC,225X00000X|261Q00000X,1.0,exact match on 'occupational therapist' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Orthopedic Surgery Program,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
Midwife Services,176B00000X,1.0,exact match on 'midwife',,,,,,,,,,,,,1
speech-language pathologist,235Z00000X,1.0,exact match on 'speech language pathologist',,,,,,,,,,,,,1
COMMUN1TY HEALTH - CL1N1C/CENTER,261QC1500X|261Q00000X,1.0,exact match on 'community' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dept of Public Health,1223D0001X|2083P0901X|213EP0504X|251K00000X|364SC1501X,1.0,fuzzy match (query='public'): 'preventive medicine public general preventive medicine' score=1.00; 'dentist dental public' score=1.00; 'nurse community public' score=1.00; 'podiatrist public medicine' score=1.00; 'public or welfare' score=1.00,,,,,,,,,,,,,1
Pharmacy CLINIC,183700000X|333600000X|261Q00000X,1.0,exact match on 'pharmacy' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Orthotics and Prosthetics Unit,335E00000X,0.8163,fuzzy match (query='orthotics prosthetics'): 'prosthetic orthotic supplier' score=0.82,Prosthetic/Orthotic Supplier,1,0,0,0.0,0.0,0,0.7586,0.7586,0.7586,0,0.7988,0
Plastic Surgery Center,208200000X|261Q00000X,1.0,exact match on 'plastic surgery' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
TAXI hospital,344600000X,1.0,exact match on 'taxi',,,,,,,,,,,,,1
Clinical Psychology Unit,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,1,0.549,0.549,0.549,0,0.7185,0
Gerontology - Nurse Practitioner CLINIC,363L00000X|363LG0600X|261Q00000X,1.0,fuzzy match (query='gerontology nurse'): 'nurse' score=1.00; 'nurse gerontology' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dietitian - USA,133V00000X,1.0,exact match on 'dietitian',,,,,,,,,,,,,1
Radiation,2085R0001X|2471R0002X|261QX0203X,1.0,fuzzy match (query='radiation'): 'radiology radiation oncology' score=1.00; 'radiologic radiation therapy' score=1.00; 'oncology radiation' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Internal Medicine CLINIC,207R00000X|261Q00000X,1.0,exact match on 'internal medicine' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Sports Medicine Services,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Nephrology dept,246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
Audiology dept,2355A2700X,1.0,exact match on 'audiology',,,,,,,,,,,,,1
Critical Care Medicine CLINIC,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X|261Q00000X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Chiropractic - USA,111N00000X,0.8333,fuzzy match (query='chiropractic'): 'chiropractor' score=0.83,Chiropractor,1,0,0,0.0,0.0,0,0.7143,0.7143,0.7143,0,0.8517,0
Radiation Oncology Division,2085R0001X|261QX0200X|261QX0203X,1.0,fuzzy match (query='radiation oncology'): 'radiology radiation oncology' score=1.00; 'oncology' score=1.00; 'oncology radiation' score=1.00,,,,,,,,,,,,,1
Nephrology hospital,246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
IR CLINIC,2085R0204X|261QR0200X|261Q00000X,1.0,fuzzy match (query='interventional radiology'): 'radiology vascular interventional radiology' score=1.00; 'radiology' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Public Health Service,1223D0001X|2083P0901X|213EP0504X|251K00000X|364SC1501X,1.0,fuzzy match (query='public'): 'preventive medicine public general preventive medicine' score=1.00; 'dentist dental public' score=1.00; 'nurse community public' score=1.00; 'podiatrist public medicine' score=1.00; 'public or welfare' score=1.00,,,,,,,,,,,,,1
Pain Ma,261QP3300X,1.0,fuzzy match (query='pain ma'): 'pain' score=1.00,,,,,,,,,,,,,1
Infectious Disease Practice,207RI0200X,1.0,fuzzy match (query='infectious disease'): 'internal medicine infectious disease' score=1.00,,,,,,,,,,,,,1
OPTICIAN - USA,156FX1800X,1.0,exact match on 'optician',,,,,,,,,,,,,1
Dietitian Center,133V00000X|261Q00000X,1.0,exact match on 'dietitian' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Speech-Language Pathologist Program,235Z00000X,1.0,exact match on 'speech language pathologist',,,,,,,,,,,,,1
Neuropsychiatry hospital,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00,,,,,,,,,,,,,1
Ophthalmology CLINIC,207W00000X|261Q00000X,1.0,exact match on 'ophthalmology' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
ClinicalPsychology,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82 + spacing rescue,Psychologist Health Service,1,0,0,0.0,0.0,1,0.4889,0.4889,0.4889,1,0.4884,0
Orthopedic Surgery,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
hospice and palliative care,207LH0002X|207PH0002X|207QH0002X|207RH0002X|207VH0002X,1.0,fuzzy match (query='hospice palliative'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00; 'obstetrics gynecology hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
Medical Genetics Center,261QG0250X|261Q00000X,1.0,exact match on 'genetics' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
ReproductiveEndocrinology,163WR1000X|207VE0102X,1.0,fuzzy match (query='reproductive endocrinology'): 'obstetrics gynecology reproductive endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00 + spacing rescue,,,,,,,,,,,,,1
PEDIATRICS Practice,208000000X,1.0,exact match on 'pediatrics',,,,,,,,,,,,,1
Midwife Program,176B00000X,1.0,exact match on 'midwife',,,,,,,,,,,,,1
Registered Nurse dept,163W00000X|163WE0003X|363L00000X|364S00000X|364SE0003X,1.0,exact match on 'nurse',,,,,,,,,,,,,1
Derma,207N00000X,0.625,fuzzy match (query='derma'): 'dermatology' score=0.62,Dermatology,1,0,0,0.0,0.0,1,0.625,0.625,0.625,1,0.5481,0
Dentistry,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
RADIOLOGY MOBILE CLINIC/CENTER Division,261QR0208X|261Q00000X,1.0,exact match on 'radiology mobile' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dr. Neuropsychiatry,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00,,,,,,,,,,,,,1
Clinical Psychology CLINIC,103TH0100X|261Q00000X,1.0,fuzzy match (query='psychology'): 'psychologist' score=0.82 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Orthotics and Prosthetics Program,335E00000X,0.8163,fuzzy match (query='orthotics prosthetics'): 'prosthetic orthotic supplier' score=0.82,Prosthetic/Orthotic Supplier,1,0,0,0.0,0.0,0,0.6557,0.6557,0.6557,0,0.7944,0
Critical Care Medicine,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00,,,,,,,,,,,,,1
Nephrology Unit,246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
Pharmacy CLINIC,183700000X|333600000X|261Q00000X,1.0,exact match on 'pharmacy' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Neurology Unit,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00,,,,,,,,,,,,,1
Sleep Medicine Services,207PE0004X|207QS1201X|207RS0012X|207YS0012X|2080S0012X,1.0,fuzzy match (query='sleep medicine'): 'medicine' score=1.00; 'family medicine sleep medicine' score=1.00; 'internal medicine sleep medicine' score=1.00; 'otolaryngology sleep medicine' score=1.00; 'pediatrics sleep medicine' score=1.00,,,,,,,,,,,,,1
NEUROPSYCHIATRY,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
PHYSICAL MEDICINE & REHAB,207PE0004X,1.0,fuzzy match (query='medicine rehab'): 'medicine' score=1.00,,,,,,,,,,,,,1
Dr. Ophthalmology,207W00000X,1.0,exact match on 'ophthalmology',,,,,,,,,,,,,1
0phthalmology,207W00000X,1.0,exact match on 'ophthalmology',,,,,,,,,,,,,1
MARRIAGE&FAMILYTHERAPIST,106H00000X,1.0,exact match on 'marriage family therapist' + spacing rescue,,,,,,,,,,,,,1
clinical laboratory,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Orthotics and Prosthetics Practice,335E00000X,0.8163,fuzzy match (query='orthotics prosthetics'): 'prosthetic orthotic supplier' score=0.82,Prosthetic/Orthotic Supplier,1,0,0,0.0,0.0,1,0.6452,0.6452,0.6452,0,0.7634,0
Neuropsychiatry Service,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00,,,,,,,,,,,,,1
Neuropsychiatry Center,2084B0040X|261Q00000X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Ophthalmology dept,207W00000X,1.0,exact match on 'ophthalmology',,,,,,,,,,,,,1
Chiropractic Center,111N00000X|261Q00000X,1.0,fuzzy match (query='chiropractic'): 'chiropractor' score=0.83 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dentistry Program,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Adult Health Nurse Practitioner,363L00000X|363LA2200X|364SP0809X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00,,,,,,,,,,,,,1
Sleep Med,173F00000X,0.7778,fuzzy match (query='sleep med'): 'sleep phd' score=0.78,"Sleep Specialist, PhD",0,1,0,0.3333,0.0,0,0.7143,0.7143,0.7143,0,0.6264,1
Radiology Services,243U00000X|261QR0200X,1.0,exact match on 'radiology',,,,,,,,,,,,,1
Psychiatry,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='psychiatry'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
